timestamp,open,high,low,close,Volume
1970-01-01 00:00:01.746013800+00:00,2.08956,2.09001,2.08908,2.0898,880
1970-01-01 00:00:01.746014100+00:00,2.0898,2.08992,2.08927,2.08964,1012
1970-01-01 00:00:01.746014400+00:00,2.08964,2.08985,2.08893,2.08917,1087
1970-01-01 00:00:01.746014700+00:00,2.08917,2.08955,2.08894,2.08939,924
1970-01-01 00:00:01.746015+00:00,2.08939,2.08978,2.08904,2.08947,962
1970-01-01 00:00:01.746015300+00:00,2.08947,2.09034,2.08888,2.0898,2207
1970-01-01 00:00:01.746015600+00:00,2.0898,2.0912,2.08968,2.0912,1708
1970-01-01 00:00:01.746015900+00:00,2.0912,2.09191,2.09004,2.09004,996
1970-01-01 00:00:01.746016200+00:00,2.09004,2.09444,2.08995,2.09355,4047
1970-01-01 00:00:01.746016500+00:00,2.09355,2.09566,2.09332,2.09545,2473
1970-01-01 00:00:01.746016800+00:00,2.09545,2.09765,2.09525,2.0971,2796
1970-01-01 00:00:01.746017100+00:00,2.0971,2.09753,2.09514,2.09539,3459
1970-01-01 00:00:01.746017400+00:00,2.09539,2.09583,2.09433,2.0944000000000003,2776
1970-01-01 00:00:01.746017700+00:00,2.0944000000000003,2.0953500000000003,2.0935900000000003,2.0950100000000003,2084
1970-01-01 00:00:01.746018+00:00,2.0950100000000003,2.09622,2.09475,2.09598,2348
1970-01-01 00:00:01.746018300+00:00,2.09598,2.096,2.09498,2.09556,1649
1970-01-01 00:00:01.746018600+00:00,2.09556,2.09565,2.09354,2.09427,2618
1970-01-01 00:00:01.746018900+00:00,2.09427,2.0950800000000003,2.09365,2.09383,2206
1970-01-01 00:00:01.746019200+00:00,2.09383,2.0940600000000003,2.09191,2.09217,2439
1970-01-01 00:00:01.746019500+00:00,2.09217,2.09228,2.09035,2.09159,2597
1970-01-01 00:00:01.746019800+00:00,2.09159,2.09375,2.09156,2.0931,2645
1970-01-01 00:00:01.746020100+00:00,2.0931,2.0950800000000003,2.09292,2.09472,2359
1970-01-01 00:00:01.746020400+00:00,2.09472,2.09487,2.09374,2.0941300000000003,1627
1970-01-01 00:00:01.746020700+00:00,2.0941300000000003,2.0950100000000003,2.09174,2.0917600000000003,2193
1970-01-01 00:00:01.746021+00:00,2.0917600000000003,2.09402,2.09148,2.09374,2064
1970-01-01 00:00:01.746021300+00:00,2.09374,2.09522,2.09235,2.09475,1727
1970-01-01 00:00:01.746021600+00:00,2.09475,2.09515,2.09214,2.09304,3118
1970-01-01 00:00:01.746021900+00:00,2.09304,2.09394,2.09204,2.09243,1855
1970-01-01 00:00:01.746022200+00:00,2.09243,2.0926400000000003,2.09137,2.0917600000000003,2277
1970-01-01 00:00:01.746022500+00:00,2.0917600000000003,2.09244,2.09119,2.09156,2999
1970-01-01 00:00:01.746022800+00:00,2.09156,2.09233,2.09098,2.09167,2655
1970-01-01 00:00:01.746023100+00:00,2.09167,2.09175,2.09088,2.09137,1891
1970-01-01 00:00:01.746023400+00:00,2.09137,2.09143,2.08987,2.09007,2043
1970-01-01 00:00:01.746023700+00:00,2.09007,2.09077,2.08964,2.08974,1601
1970-01-01 00:00:01.746024+00:00,2.08974,2.08992,2.0875,2.08789,2124
1970-01-01 00:00:01.746024300+00:00,2.08789,2.0882,2.08699,2.08707,1695
1970-01-01 00:00:01.746024600+00:00,2.08707,2.09071,2.08703,2.08811,4001
1970-01-01 00:00:01.746024900+00:00,2.08811,2.0885700000000003,2.08659,2.08748,5072
1970-01-01 00:00:01.746025200+00:00,2.08748,2.08811,2.08658,2.08731,4167
1970-01-01 00:00:01.746025500+00:00,2.08731,2.08754,2.08594,2.0865,1524
1970-01-01 00:00:01.746025800+00:00,2.0865,2.08663,2.08565,2.08652,1646
1970-01-01 00:00:01.746026100+00:00,2.08652,2.08685,2.0858,2.08648,1777
1970-01-01 00:00:01.746026400+00:00,2.08648,2.08668,2.08408,2.08415,3519
1970-01-01 00:00:01.746026700+00:00,2.08415,2.08455,2.08364,2.08378,2336
1970-01-01 00:00:01.746027+00:00,2.08378,2.08542,2.08361,2.08512,3192
1970-01-01 00:00:01.746027300+00:00,2.08512,2.08573,2.08454,2.08529,2022
1970-01-01 00:00:01.746027600+00:00,2.08529,2.08618,2.08448,2.0855,2312
1970-01-01 00:00:01.746027900+00:00,2.0855,2.08616,2.08499,2.08521,1932
1970-01-01 00:00:01.746028200+00:00,2.08521,2.08609,2.085,2.0857,1286
1970-01-01 00:00:01.746028500+00:00,2.0857,2.08585,2.0845,2.08519,1440
1970-01-01 00:00:01.746028800+00:00,2.08519,2.0858600000000003,2.0849,2.0857,1741
