time,open,high,low,close,Pattern Alert,Volume
1750641900,0.93993,0.94003,0.93992,0.93996,0,832
1750642200,0.93996,0.94002,0.93991,0.93999,0,509
1750642500,0.93999,0.94034,0.93993,0.94032,0,974
1750642800,0.94032,0.94034,0.94019,0.94021,0,1065
1750643100,0.94021,0.94045,0.9402,0.94044,1,942
1750643400,0.94044,0.94055,0.94042,0.94053,0,822
1750643700,0.94053,0.94071,0.94046,0.9407,0,941
1750644000,0.9407,0.94084,0.9407,0.9408,0,992
1750644300,0.9408,0.94085,0.94065,0.94068,0,884
1750644600,0.94068,0.94082,0.94064,0.94075,0,996
1750644900,0.94075,0.94087,0.94066,0.94074,0,864
1750645200,0.94074,0.94078,0.94058,0.94064,0,850
1750645500,0.94064,0.9407,0.94046,0.94046,0,900
1750645800,0.94046,0.94049,0.9402,0.94024,0,1071
1750646100,0.94024,0.94026,0.94012,0.94019,0,746
1750646400,0.94019,0.94022,0.94002,0.94008,0,598
1750646700,0.94008,0.94016,0.94006,0.94014,0,450
1750647000,0.94014,0.94014,0.94005,0.94009,1,618
1750647300,0.94009,0.94017,0.94005,0.94008,0,633
1750647600,0.94008,0.94021,0.94007,0.94013,0,877
1750647900,0.94013,0.9404,0.94013,0.94019,0,932
1750648200,0.94019,0.94024,0.94007,0.94008,0,1020
1750648500,0.94008,0.9402,0.94003,0.94007,0,1011
1750648800,0.94007,0.94015,0.93992,0.93996,0,1097
1750649100,0.93996,0.94001,0.9396,0.93963,0,1428
1750649400,0.93963,0.93987,0.93947,0.93985,0,1005
1750649700,0.93985,0.94007,0.93983,0.93992,0,836
1750650000,0.93992,0.94001,0.93986,0.93994,0,736
1750650300,0.93994,0.94001,0.93973,0.93981,0,1147
1750650600,0.93981,0.93989,0.93979,0.9398,0,1167
1750650900,0.9398,0.9398,0.93971,0.93977,0,1027
1750651200,0.93977,0.93996,0.93975,0.93977,0,730
1750651500,0.93977,0.93995,0.93972,0.93988,0,860
1750651800,0.93988,0.93997,0.93984,0.93988,0,750
1750652100,0.93988,0.94009,0.93982,0.94007,0,590
1750652400,0.94007,0.94011,0.93987,0.93997,0,660
1750652700,0.93997,0.94001,0.9399,0.93995,0,783
1750653000,0.93995,0.9403,0.93994,0.94012,0,694
1750653300,0.94012,0.94012,0.9399,0.93994,0,805
1750653600,0.93994,0.94,0.93979,0.93986,0,729
1750653900,0.93986,0.93991,0.93965,0.9397,0,742
1750654200,0.9397,0.93988,0.93967,0.93981,0,734
1750654500,0.93981,0.94011,0.93978,0.93999,0,782
1750654800,0.93999,0.94027,0.93999,0.94027,0,799
1750655100,0.94027,0.94054,0.94018,0.94051,0,932
1750655400,0.94051,0.94059,0.94043,0.94051,0,782
1750655700,0.94051,0.94057,0.94033,0.94034,0,813
1750656000,0.94034,0.94046,0.94023,0.94038,0,731
1750656300,0.94038,0.94059,0.94038,0.94053,0,387
1750656600,0.94053,0.94064,0.94045,0.94064,0,662
1750656900,0.94064,0.94082,0.94046,0.94048,0,945
1750657200,0.94048,0.94074,0.94044,0.9407,0,733
1750657500,0.9407,0.94074,0.94057,0.94062,0,817
1750657800,0.94062,0.94083,0.94049,0.94082,0,666
1750658100,0.94082,0.9409,0.94069,0.9408,0,883
1750658400,0.9408,0.9409,0.94069,0.94073,0,1079
1750658700,0.94073,0.94082,0.94043,0.94047,0,1338
1750659000,0.94047,0.94071,0.94033,0.94044,0,1219
1750659300,0.94044,0.94067,0.94042,0.94062,0,1068
1750659600,0.94062,0.94075,0.94055,0.94065,0,1231
1750659900,0.94065,0.94085,0.9406,0.94067,0,1367
1750660200,0.94067,0.94081,0.9403,0.94037,0,1322
1750660500,0.94037,0.94054,0.94031,0.94052,0,1378
1750660800,0.94052,0.9406,0.94027,0.94031,0,1342
1750661100,0.94031,0.94038,0.9401,0.94013,0,1011
1750661400,0.94013,0.94017,0.94001,0.94007,0,1007
1750661700,0.94007,0.94009,0.93944,0.93954,0,1410
1750662000,0.93954,0.93983,0.93913,0.93938,0,2274
1750662300,0.93938,0.9394,0.93862,0.93877,0,1231
1750662600,0.93877,0.93982,0.93875,0.93953,0,1776
1750662900,0.93953,0.93956,0.93864,0.93915,0,1769
1750663200,0.93915,0.93943,0.93914,0.93938,0,1342
1750663500,0.93938,0.93965,0.93929,0.93951,0,1368
1750663800,0.93951,0.93998,0.93941,0.93967,0,1646
1750664100,0.93967,0.93986,0.93956,0.93962,0,1140
1750664400,0.93962,0.93962,0.93919,0.93941,0,1522
1750664700,0.93941,0.93956,0.93911,0.93927,0,1437
1750665000,0.93927,0.93929,0.93862,0.93866,0,1391
1750665300,0.93866,0.93923,0.93861,0.93914,0,1676
1750665600,0.93914,0.93918,0.9387,0.93885,1,1565
1750665900,0.93885,0.93936,0.93883,0.93929,0,1258
1750666200,0.93929,0.93954,0.93922,0.93932,0,1171
1750666500,0.93932,0.93938,0.93887,0.93903,0,1179
