time,open,high,low,close,Pattern Alert,Volume
1748206800,1.13653,1.13653,1.1361700000000001,1.1362700000000001,0,3
1748207100,1.1362700000000001,1.13637,1.1362700000000001,1.13637,0,7
1748207400,1.13637,1.13637,1.13625,1.13625,0,21
1748207700,1.13625,1.13625,1.13601,1.13604,0,17
1748208000,1.13604,1.13615,1.13595,1.13615,0,32
1748208300,1.13615,1.13646,1.13595,1.13611,0,54
1748208600,1.13611,1.1361700000000001,1.13605,1.13611,0,96
1748208900,1.13611,1.1365,1.13611,1.1365,0,61
1748209200,1.1365,1.13651,1.1362,1.13621,0,81
1748209500,1.13621,1.13635,1.13587,1.13633,0,75
1748209800,1.13633,1.13667,1.13633,1.13667,0,79
1748210100,1.13667,1.13667,1.1366,1.13664,0,12
1748210400,1.13664,1.1368800000000001,1.13647,1.13655,0,607
1748210700,1.13655,1.13685,1.13615,1.13685,0,1087
1748211000,1.13685,1.1379,1.13685,1.13786,0,1695
1748211300,1.13786,1.13792,1.13696,1.13696,0,868
1748211600,1.13696,1.13698,1.13621,1.13669,0,1439
1748211900,1.13669,1.1376,1.13643,1.13752,0,1075
1748212200,1.13752,1.13782,1.13729,1.13729,0,954
1748212500,1.13729,1.1373900000000001,1.13696,1.13704,0,1041
1748212800,1.13704,1.13756,1.137,1.1373900000000001,0,906
1748213100,1.1373900000000001,1.1376600000000001,1.13717,1.13762,0,634
1748213400,1.13762,1.13763,1.13725,1.13747,0,744
1748213700,1.13747,1.13778,1.1373900000000001,1.1373900000000001,0,658
1748214000,1.1373900000000001,1.13748,1.13699,1.1373,0,782
1748214300,1.1373,1.13751,1.13696,1.1374,0,509
1748214600,1.1374,1.1379,1.13736,1.1377,0,536
1748214900,1.1377,1.13817,1.1376,1.13798,0,529
1748215200,1.13798,1.13814,1.13771,1.13786,0,522
1748215500,1.13786,1.13789,1.1376,1.13788,0,510
1748215800,1.13788,1.13805,1.1378,1.1379,0,547
1748216100,1.1379,1.13805,1.13756,1.13774,0,476
1748216400,1.13774,1.13774,1.13725,1.13731,0,430
1748216700,1.13731,1.13745,1.13721,1.13735,0,507
1748217000,1.13735,1.13737,1.13701,1.1372,0,550
1748217300,1.1372,1.13747,1.13709,1.13744,0,645
1748217600,1.13744,1.1384,1.13744,1.1382,0,1812
1748217900,1.1382,1.13828,1.13743,1.1376600000000001,0,1094
1748218200,1.1376600000000001,1.13775,1.13742,1.13768,0,1374
1748218500,1.13768,1.1385,1.13752,1.13847,0,1963
1748218800,1.13847,1.13893,1.13835,1.13881,0,1421
1748219100,1.13881,1.13928,1.13855,1.13927,0,1296
1748219400,1.13927,1.13944,1.1392200000000001,1.13932,0,1096
1748219700,1.13932,1.13932,1.139,1.13912,0,843
1748220000,1.13912,1.13913,1.13889,1.13892,0,724
1748220300,1.13892,1.13899,1.13876,1.1389,0,614
1748220600,1.1389,1.13946,1.13884,1.13943,0,1080
1748220900,1.13943,1.13972,1.13914,1.1396600000000001,0,1316
1748221200,1.1396600000000001,1.13973,1.13929,1.13946,0,1137
1748221500,1.13946,1.13956,1.13891,1.13897,0,844
1748221800,1.13897,1.13919,1.13877,1.13912,0,990
1748222100,1.13912,1.13987,1.1391,1.13977,0,1555
1748222400,1.13977,1.14008,1.13945,1.13951,0,923
1748222700,1.13951,1.13982,1.1395,1.13979,0,620
1748223000,1.13979,1.13991,1.13894,1.13923,0,1416
1748223300,1.13923,1.13991,1.13923,1.13982,0,1307
1748223600,1.13982,1.1398300000000001,1.13957,1.1398,0,1293
1748223900,1.1398,1.14034,1.13977,1.14032,0,1135
1748224200,1.14032,1.14144,1.14021,1.14136,0,2091
1748224500,1.14136,1.14156,1.14108,1.14123,0,2008
1748224800,1.14123,1.14164,1.14079,1.14163,0,1774
1748225100,1.14163,1.14185,1.1413200000000001,1.14165,0,1503
1748225400,1.14165,1.14173,1.14127,1.1413200000000001,0,1240
1748225700,1.1413200000000001,1.1414900000000001,1.14082,1.1413200000000001,0,1085
1748226000,1.1413200000000001,1.14156,1.14104,1.14112,0,755
1748226300,1.14112,1.14162,1.14112,1.14131,0,992
1748226600,1.14131,1.1414,1.14102,1.14119,0,900
1748226900,1.14119,1.14137,1.14097,1.1410500000000001,0,961
1748227200,1.1410500000000001,1.14113,1.14097,1.14109,0,548
1748227500,1.14109,1.14168,1.14102,1.14159,0,694
1748227800,1.14159,1.14159,1.14099,1.14102,0,572
