time,open,high,low,close,Pattern Alert,Volume
1750641000,1.09842,1.09859,1.09815,1.09822,0,887
1750641300,1.09822,1.09825,1.09798,1.09803,0,747
1750641600,1.09803,1.09824,1.09798,1.09806,0,712
1750641900,1.09806,1.09822,1.09798,1.09807,0,742
1750642200,1.09807,1.09822,1.09796,1.09816,0,767
1750642500,1.09816,1.09863,1.0981,1.09857,0,747
1750642800,1.09857,1.09872,1.09838,1.09844,0,804
1750643100,1.09844,1.09878,1.09837,1.09863,1,785
1750643400,1.09863,1.0987,1.09845,1.09849,0,693
1750643700,1.09849,1.09871,1.09834,1.09869,0,751
1750644000,1.09869,1.09884,1.09867,1.0987,0,809
1750644300,1.0987,1.09877,1.09844,1.09844,0,603
1750644600,1.09844,1.09871,1.09844,1.09859,0,757
1750644900,1.09859,1.09872,1.09843,1.09857,0,689
1750645200,1.09857,1.09868,1.09841,1.09844,0,631
1750645500,1.09844,1.09858,1.09829,1.09832,0,651
1750645800,1.09832,1.09837,1.09796,1.09803,0,652
1750646100,1.09803,1.09805,1.09779,1.09801,0,524
1750646400,1.09801,1.09802,1.09761,1.09766,0,641
1750646700,1.09766,1.09769,1.09753,1.09758,0,581
1750647000,1.09758,1.0976,1.09745,1.09751,0,679
1750647300,1.09751,1.09763,1.09746,1.09752,0,631
1750647600,1.09752,1.0978,1.0975,1.0977,0,731
1750647900,1.0977,1.09811,1.09762,1.09774,0,657
1750648200,1.09774,1.09775,1.09742,1.09744,0,769
1750648500,1.09744,1.09761,1.0974,1.0975,0,660
1750648800,1.0975,1.09756,1.09738,1.0974,0,627
1750649100,1.0974,1.09743,1.09672,1.09676,0,691
1750649400,1.09676,1.09714,1.09664,1.09708,0,633
1750649700,1.09708,1.09743,1.09706,1.09729,0,454
1750650000,1.09729,1.0974,1.09725,1.09732,0,389
1750650300,1.09732,1.09752,1.09711,1.09719,0,529
1750650600,1.09719,1.09733,1.09715,1.09716,0,593
1750650900,1.09716,1.09723,1.0969,1.09699,0,588
1750651200,1.09699,1.0972,1.09698,1.09708,0,614
1750651500,1.09708,1.09752,1.09706,1.09738,0,610
1750651800,1.09738,1.09752,1.09735,1.09742,0,580
1750652100,1.09742,1.09765,1.09736,1.09763,0,612
1750652400,1.09763,1.09768,1.09736,1.09749,0,660
1750652700,1.09749,1.09751,1.0973,1.09736,0,701
1750653000,1.09736,1.09768,1.09731,1.09742,0,642
1750653300,1.09742,1.09743,1.09706,1.09712,0,465
1750653600,1.09712,1.09716,1.09694,1.097,0,577
1750653900,1.097,1.09705,1.09676,1.09679,0,571
1750654200,1.09679,1.09694,1.09669,1.09686,0,573
1750654500,1.09686,1.0971,1.09685,1.09697,0,532
1750654800,1.09697,1.09732,1.09694,1.09729,0,693
1750655100,1.09729,1.09745,1.09713,1.09741,0,667
1750655400,1.09741,1.09761,1.09738,1.0975,0,615
1750655700,1.0975,1.09758,1.09711,1.09715,0,713
1750656000,1.09715,1.0972,1.0969,1.0971,0,679
1750656300,1.0971,1.09729,1.09708,1.09718,0,592
1750656600,1.09718,1.09731,1.09705,1.09728,0,704
1750656900,1.09728,1.09749,1.09692,1.09704,0,774
1750657200,1.09704,1.09734,1.09703,1.09725,0,651
1750657500,1.09725,1.09728,1.09692,1.09706,0,689
1750657800,1.09706,1.09744,1.09704,1.09744,0,696
1750658100,1.09744,1.09754,1.09734,1.09753,0,746
1750658400,1.09753,1.09769,1.09735,1.09762,0,1037
1750658700,1.09762,1.09774,1.09744,1.09769,0,906
1750659000,1.09769,1.09772,1.09743,1.09755,0,855
1750659300,1.09755,1.09788,1.09755,1.09783,0,638
1750659600,1.09783,1.09806,1.09759,1.09769,0,921
1750659900,1.09769,1.09807,1.09765,1.09795,0,914
1750660200,1.09795,1.09809,1.09753,1.09767,0,1062
1750660500,1.09767,1.09782,1.09732,1.09744,0,839
1750660800,1.09744,1.09785,1.09738,1.09773,0,851
1750661100,1.09773,1.09808,1.09766,1.09773,0,662
1750661400,1.09773,1.09783,1.09751,1.09771,0,739
1750661700,1.09771,1.09771,1.09705,1.09712,0,933
1750662000,1.09712,1.09769,1.0971,1.09726,0,1301
1750662300,1.09726,1.09729,1.09647,1.09652,0,929
1750662600,1.09652,1.09804,1.09652,1.0975,0,943
1750662900,1.0975,1.0978,1.09691,1.0972,0,1126
1750663200,1.0972,1.09802,1.09718,1.0979,0,1085
1750663500,1.0979,1.0983,1.09782,1.09815,0,822
1750663800,1.09815,1.09852,1.098,1.09831,0,965
1750664100,1.09831,1.09866,1.09818,1.09846,0,786
1750664400,1.09846,1.0985,1.09805,1.09826,0,980
1750664700,1.09826,1.09835,1.09784,1.09791,0,942
1750665000,1.09791,1.09793,1.09701,1.09702,0,985
1750665300,1.09702,1.09777,1.09698,1.09772,0,1103
1750665600,1.09772,1.09776,1.09706,1.09723,0,1216
1750665900,1.09723,1.09807,1.09717,1.09788,0,805
1750666200,1.09788,1.09816,1.09779,1.09781,0,712
1750666500,1.09781,1.09788,1.09707,1.09745,0,905
1750666800,1.09745,1.09782,1.09733,1.09763,0,610
1750667100,1.09763,1.09763,1.0972,1.09731,0,741
1750667400,1.09731,1.09853,1.0973,1.09807,0,841
1750667700,1.09807,1.09833,1.09787,1.0981,0,636
1750668000,1.0981,1.09813,1.09773,1.09784,0,814
1750668300,1.09784,1.09833,1.0976,1.09784,0,689
1750668600,1.09784,1.09802,1.09719,1.09745,0,805
1750668900,1.09745,1.09765,1.09704,1.09706,0,700
1750669200,1.09706,1.09762,1.09663,1.09663,0,946
1750669500,1.09663,1.09697,1.0962,1.09655,0,1109
1750669800,1.09655,1.09677,1.09617,1.0965,0,1155
1750670100,1.0965,1.0966,1.0961,1.09629,0,984
1750670400,1.09629,1.09634,1.09554,1.09581,0,1143
1750670700,1.09581,1.09588,1.09513,1.09529,0,1018
1750671000,1.09529,1.09532,1.09463,1.09525,0,1153
1750671300,1.09525,1.09542,1.09485,1.09524,0,862
1750671600,1.09524,1.09526,1.09463,1.09481,0,849
1750671900,1.09481,1.09529,1.09481,1.09502,0,698
1750672200,1.09502,1.09515,1.09463,1.09498,0,737
1750672500,1.09498,1.09503,1.0947,1.09498,0,938
1750672800,1.09498,1.09519,1.09459,1.0946,0,1074
1750673100,1.0946,1.0952,1.09451,1.09504,0,746
1750673400,1.09504,1.09532,1.09487,1.09514,0,780
1750673700,1.09514,1.09525,1.09483,1.09488,0,648
1750674000,1.09488,1.09521,1.09475,1.09519,0,749
1750674300,1.09519,1.09565,1.09515,1.09524,0,645
1750674600,1.09524,1.09592,1.09505,1.09581,0,753
1750674900,1.09581,1.09591,1.09546,1.09546,0,520
1750675200,1.09546,1.09558,1.09519,1.09521,0,703
