hour_bucket,trades,wins,losses,expired,avg_r,net_r,pf,win_rate_%
12-15,5,3,2,0,0.31999999999999995,1.5999999999999999,1.7999999999999998,60.0
15-18,6,3,3,0,0.09999999999999998,0.5999999999999999,1.2,50.0
0-6,0,0,0,0,,0.0,,0.0
6-9,0,0,0,0,,0.0,,0.0
9-12,0,0,0,0,,0.0,,0.0
18-21,0,0,0,0,,0.0,,0.0
21-24,0,0,0,0,,0.0,,0.0
